Nom;NiveauDebloque;CoutPA;CoutPm;CoutPW;Element;Type;Portée;Ligne de vue;Description;Effets;Dommage lvl1;Dommage lvl1 critique;Dommage lvl245;Dommage lvl245 critique;Usages
Sang pour sang;;3;0;0;feu;monocible;1-1;oui;Inflige des dommages élevés, mais blesse aussi le lanceur.;Dommage : 120 Retour de flamme : Dommage : 40;3;3;120;150
Furie sanguinaire;;2;0;0;feu;monocible;1-3;oui;Vole la vie d'une cible.;Dommage : 70 - 100 % vie volée;2;2;70;88
Sang brûlant;;4;0;0;feu;zone;;oui;Brûle une partie de la vie du lanceur pour infliger de lourds dommages aux cibles autour de lui.;Dommage : 164 Retour de flamme : Dommage : 10 % des PV max du lanceur;5;6;164;205
Cage de sang;;4;0;0;feu;monocible;1-2;oui;Retire des PM à la cible et lui applique un malus de soins reçus.;Dommage : 121 -3 PM Incurable (Niv. 4);4;5;121;152
Punition;;0;0;0;feu;monocible;1-1;oui;Le lanceur atteint directement son potentiel de berserker maximum, en perdant tous les PV qu'il possède au-dessus de 20 %. Il inflige ensuite des dommages feu élevés.;Si le Sacrieur n'a pas 100 de Fureur : - Fixe les PV du Sacrieur à 20 % Dommage : 197;6;7;197;246
Aversion;;4;0;0;air;monocible;1-3;oui;Inflige des dommages monocible à un ennemi. Ces dommages sont plus élevés si le Sacrieur est stabilisé.;Dommage : 121 Si le Sacrieur est stabilisé : Dommage : 182 à la place;4;5;121;152
Projection;;2;0;0;air;monocible;1-2;oui;Le Sacrieur utilise sa cible pour se projeter vers l'avant et bondir de l'autre côté.;Dommage : 65 se téléporte de l'autre côté;2;2;65;82
Assaut;;1;0;0;air;monocible;1-5;oui;Échange la place du lanceur avec celle de sa cible tout en lui infligeant quelques dégâts au passage.;Echange de position Dommage : 60;2;2;60;76
Tempête spirituelle;;3;0;0;air;zone;2-4;oui;Les adversaires dans la zone subissent des dommages, puis tous les combattants autour de la case ciblée sont repoussés.;Dommage : 98 Pousse de 1 case;3;3;98;123
Fulgurance;;3;0;0;air;zone;1-3;oui;Le Sacrieur inflige des dégâts à ses ennemis dans une grande zone, puis réapparaît de l'autre côté de la zone ciblée.;Dommage : 121 (2) Téléporte de l'autre côté;4;5;121;152
Pied rocheux;;3;0;0;terre;monocible;1-3;oui;Le Sacrieur inflige des dommages monocible, et gagne de l'Armure. L'Armure absorbe les prochaines attaques reçues.;Dommage : 91 935 Armure;3;3;91;114
Poing tatoué agrippant;;2;0;0;terre;monocible;1-4;oui;Ce sort rapproche le lanceur de sa cible de quelques cases.;Se rapproche de 3 cases Dommage : 65;2;2;65;82
Démence;;2;0;0;terre;zone;1-3;oui;Le Sacrieur se déchaîne, attirant les cibles et leur infligeant des dégâts, en plus d'augmenter son Tacle.;Attire les cibles autour de la cellule ciblée Dommage : 83 122 Tacle (1 tour);3;3;83;104
Colonnades;;5;0;0;terre;zone;0-2;oui;Le Sacrieur frappe de toutes ses forces sur le sol, faisant ressortir des colonnes autour de la cible. Il inflige des dégâts et génère de l'Armure par adversaire touché : l'Armure absorbe les prochaines attaques reçues.;Dommage : 164 Par touché : - 182 Armure - Armure : 5 % des PV manquants;5;6;164;205
Fracasse;;4;0;0;terre;monocible;1-1;oui;Inflige des dommages monocible et crée une Armure dont la puissance dépend des PV manquants du Sacrieur. L'Armure absorbe les prochaines attaques reçues. Les dommages sont plus élevés si la cible possède de l'Armure.;Dommage : 121 Si la cible possède de l'Armure : - Dommage : 182 à la place Armure : 8 % des PV manquants;4;5;121;152
